judet,NUTS_ID,an,temperatura_medie_anuala_C,precipitatii_anuale_mm,judet_std,schimbare_temp_anuala_C,schimbare_precipitatii_anuala_mm,schimbare_precipitatii_anuala_pct
Brăila,RO221,2024,14.334825846354166,461.81588368644316,Braila,0.35097167968749865,195.5974994873007,73.4725740582159
Buzău,RO222,2012,10.703076655321782,755.2532923186179,Buzau,0.8189425326810031,224.7859390298329,42.3750750420752
Buzău,RO222,2013,10.808170734065595,745.3137223013114,Buzau,0.1050940787438126,-9.93957001730655,-1.3160578203892603
Buzău,RO222,2014,10.490588499767945,912.3452581214433,Buzau,-0.31758223429764953,167.03153582013192,22.410903062993025
Buzău,RO222,2015,11.208601243425123,701.8377380570267,Buzau,0.7180127436571784,-210.50752006441655,-23.07323002893228
Buzău,RO222,2016,10.816855855507425,814.6457882958769,Buzau,-0.3917453879176982,112.80805023885011,16.073238032361846
Buzău,RO222,2017,10.495714244275991,773.6386003042802,Buzau,-0.32114161123143425,-41.00718799159665,-5.033744552632847
Buzău,RO222,2018,10.877663791769802,636.3287564597213,Buzau,0.3819495474938108,-137.30984384455894,-17.748577150953114
Buzău,RO222,2019,11.484897122524753,629.1988413024067,Buzau,0.6072333307549513,-7.129915157314599,-1.1204766537634692
Buzău,RO222,2020,11.951631149443068,609.8351187101096,Buzau,0.46673402691831534,-19.36372259229711,-3.0775203832567932
Buzău,RO222,2021,10.45716903233292,722.7630969173838,Buzau,-1.4944621171101478,112.92797820727424,18.517788619017782
Buzău,RO222,2022,11.589319210241337,383.56931651789364,Buzau,1.1321501779084162,-339.19378039949015,-46.930146523275255
Buzău,RO222,2023,12.172487768796412,312.62243811904204,Buzau,0.5831685585550748,-70.9468783988516,-18.496494725625922
Buzău,RO222,2024,12.652242226175742,581.8971725899247,Buzau,0.47975445737933065,269.27473447088266,86.13416749323247
Caraş-Severin,RO422,2012,9.829625802446705,917.544235523126,Caras-Severin,0.5831980150799403,247.56824824237083,36.95180916068066
Caraş-Severin,RO422,2013,9.938747199006784,1066.960892728364,Caras-Severin,0.10912139656007902,149.41665720523793,16.284409123888178
Caraş-Severin,RO422,2014,10.226414880087209,1188.065857375315,Caras-Severin,0.28766768108042484,121.1049646469512,11.350459559700399
Caraş-Severin,RO422,2015,10.384776980377907,865.4865676668263,Caras-Severin,0.15836210029069875,-322.5792897084888,-27.151633699930876
Caraş-Severin,RO422,2016,9.706586497698643,1162.2424625301546,Caras-Severin,-0.6781904826792644,296.7558948633283,34.28775280283334
Caraş-Severin,RO422,2017,9.806025542030039,776.7440804247708,Caras-Severin,0.09943904433139572,-385.4983821053838,-33.16849921884367
Caraş-Severin,RO422,2018,10.312370359435562,1037.4177286416984,Caras-Severin,0.5063448174055232,260.67364821692763,33.55978562133044
Caraş-Severin,RO422,2019,10.671716970990795,901.2917440083138,Caras-Severin,0.3593466115552335,-136.12598463338463,-13.12161734614038
Caraş-Severin,RO422,2020,10.123083779978197,1037.2707873384159,Caras-Severin,-0.5486331910125983,135.97904333010206,15.087128472448065
Caraş-Severin,RO422,2021,9.5257445342781,931.5078463157018,Caras-Severin,-0.5973392457000966,-105.76294102271402,-10.19627105223857
Caraş-Severin,RO422,2022,10.233523346656977,699.0743034715339,Caras-Severin,0.7077788123788764,-232.43354284416796,-24.952397745600173
Caraş-Severin,RO422,2023,10.649402707122093,602.0055340505386,Caras-Severin,0.41587936046511587,-97.0687694209953,-13.885329347533071
Caraş-Severin,RO422,2024,11.487745654675388,765.5000861069952,Caras-Severin,0.8383429475532953,163.49455205645666,27.158313804260015
Cluj,RO113,2012,8.573215180793694,769.636989940848,Cluj,0.36430534430309613,102.52405785825272,15.36832115339044
Cluj,RO113,2013,8.787399967159844,912.404941867015,Cluj,0.21418478636615035,142.76795192616703,18.55003771805974
Cluj,RO113,2014,9.605052846722899,818.4206587039264,Cluj,0.8176528795630542,-93.98428316308866,-10.300720529940644
Cluj,RO113,2015,9.26044403346239,844.0434515528974,Cluj,-0.34460881326050874,25.622792848971017,3.130760761775986
Cluj,RO113,2016,8.634456668279867,1050.6522714893902,Cluj,-0.6259873651825227,206.60881993649275,24.478457780386464
Cluj,RO113,2017,8.652639743501107,781.9669157203319,Cluj,0.01818307522123952,-268.6853557690582,-25.57319515315696
Cluj,RO113,2018,9.454943091468474,935.2921548142897,Cluj,0.8023033479673671,153.32523909395775,19.607637613762428
Cluj,RO113,2019,9.581030921598451,780.3776530061675,Cluj,0.12608783012997726,-154.91450180812217,-16.563220487921427
Cluj,RO113,2020,8.991720824115044,963.4063597511401,Cluj,-0.5893100974834073,183.02870674497262,23.45386314432636
Cluj,RO113,2021,8.103779750587666,930.4652783527838,Cluj,-0.8879410735273776,-32.941081398356346,-3.419230220450842
Cluj,RO113,2022,8.841350724211836,701.7090922530773,Cluj,0.7375709736241696,-228.7561860997065,-24.585139437408877
Cluj,RO113,2023,9.580406526548673,525.5578859515686,Cluj,0.7390558023368374,-176.15120630150875,-25.103167145221818
Cluj,RO113,2024,10.398307867809734,713.3890836494686,Cluj,0.8179013412610612,187.83119769790005,35.73939288491794
Constanţa,RO223,2012,12.873309144879332,630.7322332227584,Constanta,1.3071446182704207,148.35081106896445,30.75384006427737
Constanţa,RO223,2013,12.987026705600247,547.9684818550796,Constanta,0.11371756072091443,-82.76375136767876,-13.121852191506555
Constanţa,RO223,2014,12.637688060798267,831.4127085893462,Constanta,-0.3493386448019802,283.4442267342665,51.726374074417755
Constanţa,RO223,2015,12.795190187964108,617.0104709136309,Constanta,0.15750212716584144,-214.40223767571524,-25.787702721009698
Constanţa,RO223,2016,12.617683032951733,597.8181359319403,Constanta,-0.1775071550123748,-19.19233498169058,-3.110536350099824
Constanţa,RO223,2017,12.135159634127476,564.4900600883631,Constanta,-0.48252339882425765,-33.32807584357727,-5.574952287391222
Constanţa,RO223,2018,12.47508194422958,615.5507978420742,Constanta,0.3399223101021036,51.06073775371112,9.045462686396677
Constanţa,RO223,2019,13.543001382657797,402.27105048741447,Constanta,1.067919438428218,-213.27974735465972,-34.648602211604775
Constanţa,RO223,2020,13.584061726485148,462.25988983060466,Constanta,0.041060343827350465,59.98883934319019,14.912541996373907
Constanţa,RO223,2021,12.35763942605198,753.3705976227723,Constanta,-1.2264223004331676,291.1107077921676,62.975549944176464
Constanţa,RO223,2022,13.174722501547029,315.4531089775633,Constanta,0.8170830754950487,-437.91748864520895,-58.127764745138485
Constanţa,RO223,2023,13.948811446086015,291.13774975179,Constanta,0.7740889445389865,-24.315359225773307,-7.708074047703473
Constanţa,RO223,2024,14.099911529238861,454.28433322139307,Constanta,0.15110008315284595,163.14658346960306,56.037591692830624
Covasna,RO123,2012,7.5966796875,693.2394228846796,Covasna,0.907001126197077,40.48277475612781,6.201817303920465
Covasna,RO123,2013,7.597218175088206,703.713576550926,Covasna,0.0005384875882059603,10.474153666246366,1.5108998883331948
Covasna,RO123,2014,7.840553529800907,902.0988905237567,Covasna,0.24333535471270107,198.38531397283077,28.191201730847105
Covasna,RO123,2015,7.999987202305948,722.1518240349908,Covasna,0.15943367250504092,-179.94706648876593,-19.947598692233072
Covasna,RO123,2016,7.4994137671685985,938.0629306848972,Covasna,-0.5005734351373494,215.9111066499064,29.89829831676016
Covasna,RO123,2017,7.217642507245464,802.2388694344029,Covasna,-0.28177125992313456,-135.8240612504943,-14.47920569159754
Covasna,RO123,2018,7.837973317792339,788.9605994984026,Covasna,0.620330810546875,-13.278269936000243,-1.6551516564339175
Covasna,RO123,2019,8.332831598097279,725.848608878351,Covasna,0.49485828030493995,-63.11199062005164,-7.999384336832072
Covasna,RO123,2020,8.29950935609879,790.8621426561186,Covasna,-0.03332224199848888,65.01353377776763,8.956899962684028
Covasna,RO123,2021,7.158283848916331,855.366090771652,Covasna,-1.141225507182459,64.50394811553338,8.15615574907862
Covasna,RO123,2022,7.956347065587198,561.7438939886708,Covasna,0.798063216670867,-293.6221967829812,-34.32707935827752
Covasna,RO123,2023,8.737973120904737,359.63631576107394,Covasna,0.7816260553175391,-202.1075782275969,-35.97859814595029
Covasna,RO123,2024,9.414478917275705,662.1536047453842,Covasna,0.676505796370968,302.51728898431026,84.11755869095518
Călăraşi,RO312,2012,12.681420337194684,685.4220640172904,Calarasi,1.12158203125,180.9087319526522,35.85806765746167
Călăraşi,RO312,2013,13.093087733477011,601.9171146054206,Calarasi,0.4116673962823274,-83.5049494118698,-12.182996987643413
Călăraşi,RO312,2014,12.374106220815374,866.1314655288883,Calarasi,-0.718981512661637,264.2143509234677,43.89547074046403
Călăraşi,RO312,2015,12.940923581178161,640.1474824289138,Calarasi,0.5668173603627871,-225.98398309997447,-26.09118731900373
Călăraşi,RO312,2016,12.64776962104885,662.0693623939122,Calarasi,-0.2931539601293114,21.921879964998425,3.4245045972562727
Călăraşi,RO312,2017,12.178054283405173,656.85339012468,Calarasi,-0.46971533764367734,-5.215972269232225,-0.7878286725687356
Călăraşi,RO312,2018,12.564178116020114,610.4668519675047,Calarasi,0.3861238326149419,-46.38653815717532,-7.061931757461204
