judet,an,ocupati_aff_eurostat_mii,ocupati_total_eurostat_mii,ocupati_aff_eurostat_nr,ocupati_total_eurostat_nr,pondere_ocupati_aff_eurostat,schimbare_pondere_ocupati_aff_eurostat,schimbare_ocupati_aff_eurostat_pct
Brasov,2022,36.12,255.32,36120.0,255320.0,14.14695284349052,-0.45367362479452034,-3.1375703942075672
Buzau,2012,56.08,158.63,56080.0,158630.0,35.35270755846939,,
Buzau,2013,52.27,155.88,52270.0,155880.0,33.53220425968694,-1.820503298782448,-6.793865905848784
Buzau,2014,59.02,162.36,59020.0,162360.0,36.35131805863513,2.8191137989481874,12.913717237421075
Buzau,2015,54.92,166.77,54920.0,166770.0,32.93158241890028,-3.419735639734853,-6.946797695696372
Buzau,2016,42.95,153.22,42950.0,153220.0,28.03158856546143,-4.899993853438847,-21.795338674435538
Buzau,2017,40.27,148.91,40270.0,148910.0,27.043180444563834,-0.9884081208975957,-6.239813736903377
Buzau,2018,42.04,149.49,42040.0,149490.0,28.12228242691819,1.0791019823543557,4.395331512292033
Buzau,2019,39.33,149.46,39330.0,149460.0,26.31473303894018,-1.8075493879780105,-6.446241674595621
Buzau,2020,42.92,148.68,42920.0,148680.0,28.86736615550175,2.5526331165615694,9.12789219425374
Buzau,2021,50.06,158.29,50060.0,158290.0,31.625497504580203,2.758131349078454,16.635601118359734
Buzau,2022,49.82,161.26,49820.0,161260.0,30.894208111124893,-0.7312893934553095,-0.4794246903715549
Calarasi,2012,81.84,142.86,81840.0,142860.0,57.286854262914744,,
Calarasi,2013,79.05,140.4,79050.0,140400.0,56.3034188034188,-0.9834354594959436,-3.409090909090906
Calarasi,2014,74.8,134.85,74800.0,134850.0,55.46903967371153,-0.8343791297072727,-5.376344086021501
Calarasi,2015,70.14,130.64,70140.0,130639.99999999999,53.68952847519902,-1.779511198512509,-6.229946524064167
Calarasi,2016,63.73,125.63,63730.0,125630.0,50.72832922072753,-2.961199254471488,-9.138865126889083
Calarasi,2017,62.54,127.8,62540.0,127800.0,48.9358372456964,-1.7924919750311332,-1.8672524713635674
Calarasi,2018,65.96,127.81,65960.0,127810.0,51.60785541037477,2.67201816467837,5.46850015989766
Calarasi,2019,66.04,127.62,66040.0,127620.0,51.74737501958941,0.1395196092146449,0.12128562765312267
Calarasi,2020,56.25,116.85,56250.0,116850.0,48.138639281129656,-3.6087357384597567,-14.824348879466987
Calarasi,2021,42.93,106.3,42930.0,106300.0,40.38570084666039,-7.7529384344692645,-23.68
Calarasi,2022,40.88,104.99,40880.0,104990.0,38.93704162301172,-1.4486592236486686,-4.775215467039362
Caras-Severin,2012,23.76,89.06,23760.0,89060.0,26.67864361104873,,
Caras-Severin,2013,26.26,86.6,26260.0,86600.0,30.32332563510393,3.6446820240552,10.521885521885533
Caras-Severin,2014,24.22,85.63,24220.0,85630.0,28.284479738409434,-2.0388458966944967,-7.7684691546077715
